id,agency_id,location_name,active_dates
266,183,Jefferson (2DS068) @ WB US26 MP73.17,"[2018-01-19,)"
267,99,Canyon (2DS062) @ NB OR 217 MP1.5,"[2018-01-19,)"
268,244,Murray (2R354) to WB US 26,"[2018-01-19,)"
269,53,Allen (2R340) to NB OR 217,"[2018-01-19,)"
270,411,Baker Valley I-84 MP279.30 WB,"[2018-01-19,)"
271,399,S. OR99W (2DS033) @ NB OR 217 MP6.33,"[2018-01-19,)"
272,239,Cornell (2R372) to EB US 26,"[2018-01-19,)"
273,52,Denney (2R342) to NB OR 217,"[2018-01-19,)"
274,56,Wilshire (2R350) to SB OR 217,"[2018-01-19,)"
275,180,OR 217 Camera 89 (2DS067) @ EB US26 MP69.31,"[2018-01-19,)"
276,54,Canyon (2R344) to NB OR 217,"[2018-01-19,)"
277,414,Baker Valley I-84 MP294.87 WB,"[2018-01-19,)"
278,103,Wilshire (2DS043) @ NB OR 217 MP0.25,"[2018-01-19,)"
279,101,Hall (2DS064) @ SB OR 217 MP3.4,"[2018-01-19,)"
280,98,Canyon (2DS062) @ SB OR 217 MP1.5,"[2018-01-19,)"
281,66,72nd (2R347) to SB OR 217,"[2018-01-19,)"
282,59,B-H Hwy (2R345) to SB OR 217,"[2018-01-19,)"
283,58,Walker (2R346) to SB OR 217,"[2018-01-19,)"
284,238,NB 185th Slip (2R376) to EB US 26,"[2018-01-19,)"
285,102,Wilshire (2DS043) @ SB OR 217 MP0.25,"[2018-01-19,)"
286,237,SB 185th Loop (2R375) to EB US 26,"[2018-01-19,)"
287,55,Walker (2R339) to NB OR 217,"[2018-01-19,)"
288,243,Bethany (2R356) to WB US 26,"[2018-01-19,)"
289,304,Helvetia (2DS057) @ WB US26 MP61.05,"[2018-01-19,)"
290,65,OR 99W (2R334) to SB OR 217,"[2018-01-19,)"
291,233,Jackson School Rd (2R398) to EB US 26,"[2018-01-19,)"
292,242,185th (2R357) to WB US 26,"[2018-01-19,)"
293,192,Skyline (2R367) to WB US 26,"[2018-01-19,)"
294,303,Helvetia (2DS057) @ EB US26 MP61.05,"[2018-01-19,)"
295,50,Greenburg (2R337) to NB OR 217,"[2018-01-19,)"
296,413,Baker Valley I-84 MP298.02 EB,"[2018-01-19,)"
297,185,Parkway (2R370) to EB US 26,"[2018-01-19,)"
298,191,Clay (2R383) to WB US 26,"[2018-01-19,)"
299,48,NB OR 99W Loop (2R335) to NB OR 217,"[2018-01-19,)"
300,360,S. Greenburg (2DS041) @ NB OR 217 MP5.43,"[2018-01-19,)"
301,305,Cornelius Pass (2DS066) WB US26 MP62.48,"[2018-01-19,)"
305,014es00952:_ME,Quarry Rd.,
306,005es00756:_MS,139th,
307,005es01103:_MS,209th,
308,005es08274:_MS,Harrison Ave,
309,014es01049:_ME,East of 192nd,
310,005es00977:_MS,179th ST SB,
311,205es02836:_MN,Mill Plain,
312,005es08227:_MS,CDNB Harrison,
313,005es08132:_MS,Mellen Couplet,
315,005es08076:_MS,MELLEN CPLT OFF ,
316,005es08385:_MN,BLAKESLEE JCN,
317,005es01103:_MN,209th,
318,014es00017:_ME,Apple Tree,
319,205es02885:_MN,9th ST,
320,005es08167:_MN,MELLEN ST,
321,014es01145:_MW,Camas C/L,
322,503es00471:_MS,154th,
323,005es08132:_MN,Mellen Couplet,
324,205es02987:_MS,Burton,
325,503es00471:_MN,154th,
326,005es08076:_MN,MELLEN CPLT OFF ,
327,005es08557:_MN,L/T COUNTY LINE,
328,205es02987:_MN,Burton,
329,005es00689:_MN,129th,
330,014es01049:_MW,East of 192nd,
331,005es08167:_MS,MELLEN ST,
332,014es00091:_ME,Col. Shores BLVD,
333,205es03036:_MS,39th SB,
334,205es03435:_MS,ST Johns SB,
335,005es01346:_MS,Dolan RD,
337,005es00976:_MN,179th ST NB,
338,005es08274:_MN,Harrison Ave,
339,014es00376:_MW,73rd AVE,
340,205es03667:_MN,134th,
341,014es00376:_ME,73rd AVE,
342,005es01420:_MN,SR-501,
343,205es02836:_MS,Mill Plain,
344,205es03095:_MS,SR500 SB,
345,205es03667:_MS,134th,
346,014es00091:_MW,Col. Shores BLVD,
347,014es00500:_MW,97th AVE,
348,005es00689:_MS,129th,
349,205es03434:_MN,ST Johns NB,
350,014es00952:_MW,Quarry Rd.,
351,500es00875:_MW,152nd AVE,
352,014es00017:_MW,Apple Tree,
353,205es02885:_MS,9th ST,
354,005es01346:_MN,Dolan RD,
355,014es01145:_ME,Camas C/L,
356,005es08385:_MS,BLAKESLEE JCN,
357,005es01420:_MS,SR-501,
358,205es03094:_MN,SR500 NB,
359,014es00500:_ME,97th AVE,
4719,560,Cornelius Pass Rd. SB MP3.13,
361,005es00756:_MN,139th,
362,005es08227:_MN,CDNB Harrison,
363,005es08557:_MS,L/T COUNTY LINE,
364,205es03038:_MN,39th NB,
365,500es00875:_ME,152nd AVE,
367,005es01248:_MN,Carty Rd.,
368,005es00045:_MN,SR-14,
369,014es00772:_MW,Cascade Park Dr,
370,005es07475:_MN,Labree Rd Chehalis,
371,005es00883:_MN,I-5 NB at 159th,
372,205es03153:_MN,NE 58th,
373,005es00255:_MS,Kiggins,
374,005es00730:_MN,I-5 NB at 134th,
375,005es00310:_MS,Main St,
376,014es00559:_ME,Ellsworth EB,
377,205es03481:_MN,50th,
378,014es00305:_ME,Shorewood EB,
379,005es00378:_MN,63rd,
380,014es00305:_MW,Shorewood WB,
381,205es02726:_MN,SR14,
382,005es07654:_MN,13th Chehalis,
383,005es00045:_MS,SR-14,
